part_name,brand,assembly_unit_number
Трубопровод масляный (труба подвода масла к распредвалу левая),В-46-5С,"Сб. 320-33А"
Шланг от маслонасоса к маслоочистителю,В-59УМС,"Сб. 420-51"
Шланг от маслонасоса к маслоочистителю,В-84,"Сб. 420-51-7"
Шланг от маслонасоса к маслоочистителю,В-84МБ-1С (В-84Б),"Сб. 420-164-7"
Шланг от маслонасоса к маслоочистителю,В-84 ДТ,"Сб. 3320-164-8"
Трубка подвода масла к топливному насосу,В-59УМС,"Сб. 420-183-6"
Трубка подвода масла к топливному насосу,В-84,"Сб. 420-183-5"
Трубка подвода масла к топливному насосу,В-84 АМС,"Сб. 420-183-6"
Труб подвода масла к нагнетателю,В-84 АМС,"сб. 3320-268-1 и сб. 3320-273"
Труб подвода масла к нагнетателю,В-84 ДТ,"сб. 3320-268-1 и сб. 3320-273"
Труба для подвода масла к приводу генератора,В-59УМС,"Сб. 3320-161-4"
Труба для подвода масла к приводу генератора,В-84 ДТ,"Сб. 3320-161-4"
Трубопровод от маслонасоса к маслофильтру,В-84,"Сб. 3320-372-4/11"
Трубопровод от маслонасоса к маслофильтру,В-84 ДТ,"Сб. 420-02-12/7"
Трубопровод от маслофильтра к главной магистрали,В-84,"Сб. 3320-398"
Трубопровод водяной,В-59УМС,"Сб. 3321-00-19"
Трубопровод водяной,В-84,"Сб. 3321-00-16"
Трубопровод воздушного пуска,В-59УМС,"Сб. 322-00-4"
Трубопровод высокого давления,В-59УМС,"Сб. 323-33А, сб. 323-34А, сб. 323-35А, сб. 323-36А"
Трубопровод высокого давления,В-84,"Сб. 323-33-4,сб. 323-34-4, сб. 323-35-4,      сб. 323-36-4"
Трубопровод высокого давления,В-84 АМС,"Сб. 323-33А, сб. 323-34А, сб. 323-35А, сб. 323-36А"
Система суфлирования (корпус маслоотделителя),В-59УМС,"Сб.3342-184-2"
Система суфлирования (корпус маслоотделителя),В-84,"Сб. 3342-184-1"
Система суфлирования (корпус маслоотделителя),В-84 АМС,"Сб. 3342-184-2"
Система суфлирования (корпус маслоотделителя),В-84МБ-1С (В-84Б),"Сб. 3342-184-1"
Крышка головки правая,В-59УМС,"Сб. 406-08-3"
Крышка головки правая,В-84,"Сб. 306-08-8"
Крышка головки левая,В-59УМС,"Сб. 306-09-8"
Крышка головки левая,В-84,"Сб. 306-09-10"
Крышка люка,В-59УМС,"Сб. 406-12-44"
